@Relation MeganDataSet

@Attribute Kilometres		NUMERIC
@Attribute Price			NUMERIC
@Attribute Year 			NUMERIC 
@Attribute HorsePower		NUMERIC
@Attribute Fuel				NUMERIC
@Attribute AirCondition		NUMERIC
@Attribute NumOfDoors		NUMERIC
@Attribute Gear				NUMERIC

@Data

245000,3999,2001,100,0,1,1,0
172000,8500,2007,120,0,1,1,0
80000,29990,2011,135,0,1,1,1
218700,5790,2004,110,1,1,1,1
170780,4650,2003,100,0,1,1,0
215000,5650,2003,85,0,1,1,0
135000,12900,2009,100,0,1,1,0
188000,4800,2002,110,0,1,1,0
234000,3490,2001,100,0,1,1,0
146746,29500,2012,155,0,1,1,1
155000,8500,2007,105,0,1,1,1
183282,3700,2000,100,0,1,1,0
127145,7650,2006,120,0,1,1,0
130000,15900,2011,130,0,1,1,0
0,39490,2015,140,0,1,1,1
160400,4450,2002,85,0,1,1,0
27627,40990,2013,135,0,1,1,1
176139,27900,2012,160,0,1,1,1
91138,27900,2012,135,0,1,1,1
127876,8650,2007,120,0,1,1,0
129647,8450,2004,150,0,1,1,1
176320,9700,2005,110,0,1,1,0
193000,2800,2001,77,0,1,1,0
90468,17990,2009,120,0,1,1,0
145000,12400,2008,173,0,1,1,0
140000,6550,2005,90,0,1,1,0
192500,4200,2002,110,0,1,1,1
117500,25990,2011,135,0,1,1,1
120000,38990,2012,180,0,1,1,1
172000,8900,2007,120,0,1,1,0
206000,8000,2003,135,0,1,1,1
244000,4250,2004,110,0,1,1,0
138000,25000,2008,210,0,1,1,1
260000,5200,2003,110,0,1,1,1
165000,6660,2006,120,0,0,1,0
194000,3300,2001,100,0,1,1,0
168000,10500,2005,110,0,1,1,0
175000,17400,2008,170,1,1,1,1
145000,15000,2005,220,0,1,0,1
236300,4950,2002,110,0,0,1,0
173286,3400,2001,100,0,1,1,0
163000,9800,2006,130,0,1,1,0
158000,5400,2004,85,0,1,1,0
112000,30900,2012,190,1,1,1,1
200000,1150,1990,95,0,1,1,0
152347,3250,2002,105,0,1,1,0
174000,4450,2002,135,1,1,1,0
163000,3950,2001,100,0,1,1,0
206700,4000,1997,110,1,1,0,0
155000,4990,2003,110,0,1,1,1
216000,2900,2000,87,0,1,1,0
137000,19850,2012,100,0,1,1,0
0,49990,2015,140,0,1,1,1
0,43990,2015,140,1,1,1,1
160300,3999,2002,110,1,1,1,0
139825,5000,2002,85,0,1,1,0
152000,4000,2000,87,0,1,0,0
150000,9299,2008,105,0,1,1,0
281000,6999,2001,142,0,1,1,0
179000,26500,2010,180,0,1,1,1
0,32990,2015,110,1,1,1,0
202000,11900,2006,120,0,0,1,1
210000,4800,2002,141,0,1,0,0
218428,3799,2003,110,0,1,1,0
211000,13100,2006,135,0,1,1,0
4687,49900,2014,135,0,1,1,1
54000,45900,2012,180,0,1,1,1
183000,11690,2007,120,0,1,1,0
162000,48000,2011,155,0,1,1,1
147000,27500,2013,135,0,1,1,1
163100,8750,2006,120,0,1,1,1
188985,7650,2005,120,0,1,1,0
241000,5299,2003,110,0,1,1,0
183000,29000,2008,180,0,1,1,1
134898,23650,2012,120,0,1,1,1
90000,15300,2009,130,0,1,0,1
156000,3750,2002,110,0,1,1,0
128000,12690,2010,105,0,1,1,0
148814,4399,2002,85,0,1,1,0
134000,16900,2011,130,0,1,1,1
182381,4650,2004,110,1,1,1,0
53690,22990,2011,150,0,1,1,1
51500,28990,2013,235,0,1,0,1
216000,4900,2000,100,0,1,1,0
179000,4599,2002,110,0,0,1,0
146000,21900,2012,135,1,1,1,0
181500,7450,2005,120,0,1,1,0
127000,2800,2002,85,0,0,0,0
165300,8399,2006,120,0,1,1,0
119000,29800,2011,139,1,1,1,1
158300,4750,2005,85,0,1,1,0
160000,3990,2002,105,0,1,1,0
260471,9500,2008,105,0,1,1,0
220000,4800,2003,110,1,1,1,0
180000,4300,2004,85,0,1,1,0
165134,3850,2001,105,0,1,0,0
137000,8990,2006,170,0,1,1,1
138000,19500,2010,135,0,1,1,0
198000,8200,2005,120,0,1,1,0
202000,5400,2002,110,0,1,1,0
160899,19390,2011,135,0,1,1,0
165000,3999,2002,110,0,1,0,1
73236,16290,2012,85,0,1,1,0
164919,5950,2000,110,0,1,1,0
223900,3800,2001,100,0,1,1,0
220000,10950,2005,160,0,1,1,1
182000,4800,2002,110,1,1,1,0
228000,3690,2001,100,0,1,1,1
182000,9500,2006,110,0,1,1,0
266820,4400,2002,85,0,1,0,0
246000,5000,2003,110,0,0,1,0
216000,10300,2004,110,0,1,1,0
101000,39990,2011,225,0,1,1,1
230000,4300,2002,100,0,0,1,0
201000,5250,2002,100,0,1,1,0
144300,12300,2010,135,0,1,1,0
285345,1050,1996,210,0,1,1,1
148242,8800,2006,120,0,1,1,0
152000,10500,2005,110,0,1,1,0
189000,27000,2011,135,0,1,1,1
201224,4290,2002,110,0,1,1,0
212840,4690,2002,110,0,1,1,0
218000,7950,2007,120,0,1,1,0
171000,6666,2003,110,1,1,1,0
195000,4650,2002,110,0,1,1,0
145000,12000,2006,170,0,1,1,1
86000,15000,2008,151,0,1,0,0
197360,3750,2001,125,1,1,0,0
