@Relation RenaultDataSet

@Attribute Model	{Megane,Clio,Laguna,Scenic,Modus,Kangoo,Grand,Twingo,Espace,Vel,Koleos,Fluence,Captur,Express,Fuego,Latitude,Nevada,Rapid,Safrane,Thalia}
@Attribute Kilometres		NUMERIC
@Attribute Price			NUMERIC
@Attribute Year 			NUMERIC 
@Attribute HorsePower		NUMERIC
@Attribute Fuel			    NUMERIC
@Attribute AirCondition	    NUMERIC
@Attribute NumOfDoors		NUMERIC
@Attribute Gear			    NUMERIC

@Data

Megane,155000,7450,2012,66,0,0,1,0
Scenic,146551,7150,2010,96,0,1,1,0
Clio,118000,3850,2007,54,1,0,1,0
Megane,163039,6750,2011,66,0,0,1,0
Scenic,176000,7590,2010,66,0,0,1,0
Clio,148022,4650,2011,51,0,0,0,0
Scenic,162000,3450,2004,88,0,1,1,0
Scenic,160000,2999,2004,90,0,1,1,0
Laguna,165223,2390,2002,89,1,1,1,0
Clio,121000,5699,2012,63,0,0,0,0
Megane,164000,3250,2005,88,0,1,1,0
Megane,153000,3490,2004,60,0,1,1,0
Megane,137560,3499,2005,55,0,1,1,0
Scenic,213433,2099,2001,79,1,1,1,0
Scenic,167000,3490,2004,88,0,1,1,0
Scenic,163700,3950,2004,88,0,1,1,0
Modus,152662,5890,2010,63,0,0,1,1
Clio,149186,4190,2009,55,0,0,0,0
Clio,143000,2290,2003,43,1,0,0,0
Clio,137800,1990,2003,43,1,0,0,0
Clio,156065,2350,2003,43,1,0,0,0
Megane,183400,3390,2003,60,0,1,1,0
Scenic,196000,4490,2007,78,0,0,1,0
Megane,57924,8190,2010,81,1,1,1,0
Megane,175932,2700,2003,60,0,0,0,0
Scenic,133000,2600,2002,79,1,1,1,0
Megane,250500,3499,2005,96,0,1,1,0
Clio,199512,2000,2003,48,0,1,0,0
Laguna,220000,6399,2007,96,0,1,1,0
Megane,157123,3050,2005,78,0,1,0,0
Clio,130834,2540,2003,60,0,1,0,0
Megane,164551,3500,2005,88,0,1,1,0
Scenic,181561,3500,2004,60,0,1,1,0
Scenic,163200,3750,2005,60,0,1,1,0
Laguna,91484,10500,2009,110,0,0,0,1
Clio,150000,2299,2002,55,1,0,1,0
Scenic,240000,2300,2001,75,0,1,1,0
Laguna,195000,10500,2009,127,0,1,0,0
Kangoo,165000,3299,2004,48,0,1,1,0
Laguna,145090,2299,2001,77,0,0,1,0
Scenic,147000,6450,2010,63,0,0,1,0
Clio,94000,4550,2009,50,0,1,0,0
Laguna,119000,4050,2005,81,0,0,1,0
Scenic,181000,2750,2004,88,0,0,1,0
Kangoo,189000,2490,2005,48,0,0,1,0
Megane,168000,3350,2003,60,0,0,1,0
Kangoo,150000,5650,2010,50,0,1,0,0
Scenic,144000,3650,2005,88,0,1,1,0
Espace,223000,2950,2002,103,0,1,1,0
Clio,168312,6190,2010,63,0,0,1,0
Megane,219624,5950,2010,66,0,1,1,0
Scenic,140000,4490,2007,88,0,0,1,0
Megane,191000,2999,2004,88,0,1,1,0
Megane,166710,6650,2010,63,0,1,1,0
Laguna,195276,1999,2003,88,0,0,1,0
Megane,193900,6490,2012,66,0,1,1,0
Scenic,163000,4990,2007,110,1,0,1,1
Clio,145870,2499,2004,44,0,1,1,0
Megane,167400,2550,2004,88,0,0,0,0
Clio,173172,2450,2003,48,1,0,1,0
Clio,145000,2790,2004,55,0,0,1,0
Scenic,181000,2490,2002,75,0,1,1,0
Scenic,192000,4000,2006,78,0,1,1,0
Megane,191000,4100,2006,63,1,0,1,0
Clio,128000,2650,2003,55,0,0,1,0
Megane,190251,6090,2009,66,0,0,1,0
Scenic,196000,4450,2008,78,1,0,1,0
Megane,201000,2550,2001,70,1,1,1,0
Megane,94800,3190,2003,83,0,1,1,0
Scenic,203000,2990,2003,74,0,1,1,0
Megane,161000,3490,2005,88,0,0,1,0
Clio,172000,3890,2006,50,0,0,1,0
Scenic,137000,2590,2003,88,1,1,1,0
Scenic,134564,1949,2001,79,0,0,1,0
Laguna,151000,2490,2003,74,0,0,1,0
Scenic,151000,2450,2001,74,1,0,1,0
Megane,74777,3490,2005,83,0,1,0,0
Megane,163000,3250,2004,74,0,0,0,0
Megane,150494,3999,2006,78,0,0,1,0
Scenic,119000,3650,2004,74,0,0,1,0
Megane,113000,3650,2006,78,0,1,1,0
Kangoo,165000,3750,2004,60,0,0,1,0
Scenic,185000,2500,2002,75,0,0,1,0
Megane,82000,7700,2011,66,1,1,1,0
Clio,161475,2450,2002,55,0,1,1,0
Scenic,214063,3500,2004,60,1,0,1,0
Clio,150000,1950,2001,79,1,1,0,0
Scenic,167000,2650,2003,79,0,1,1,0
Megane,166000,4300,2007,63,0,0,1,0
Laguna,173538,3000,2004,74,1,1,1,0
Clio,122058,3350,2007,82,0,1,0,1
Megane,160000,2820,2003,88,0,1,1,0
Megane,158851,2850,2003,60,0,1,1,0
Vel,174000,6900,2009,127,0,0,1,1
Scenic,158000,3650,2004,88,0,1,1,0
Clio,148000,2699,2004,48,0,0,1,0
Clio,140300,3999,2006,63,1,0,1,0
Megane,172450,3599,2006,78,0,1,1,0
Clio,138000,2599,2004,60,0,1,1,0
Scenic,150000,3199,2004,88,0,0,1,0
Megane,180000,3199,2004,88,0,0,1,0
Clio,212000,3950,2006,50,0,0,1,0
Scenic,195000,3500,2006,97,0,1,1,0
Megane,230000,2000,2002,75,0,1,1,0
Laguna,167000,3250,2005,88,0,0,1,0
Clio,151000,3780,2006,60,0,0,0,0
Megane,137654,3150,2004,88,0,0,1,0
Scenic,156321,2350,2001,79,0,1,1,0
Scenic,109240,6900,2009,63,0,1,1,0
Megane,137000,2750,2004,74,1,0,1,0
Grand,150000,3350,2005,88,0,0,1,0
Megane,130000,1950,2002,81,0,1,0,0
Scenic,139400,2800,2003,88,0,1,1,0
Megane,188000,2699,2003,59,0,1,1,0
Megane,215000,3450,2006,96,1,0,1,0
Grand,184000,3799,2004,88,0,0,1,0
Megane,174000,2499,2001,70,0,1,0,0
Megane,155000,3199,2004,88,0,1,1,0
Megane,163200,2950,2003,88,0,1,1,0
Megane,144000,2790,2003,88,1,0,0,0
Grand,150000,3290,2004,88,0,0,1,0
Clio,172000,2150,2002,44,0,1,1,0
Megane,136570,6999,2010,81,0,1,1,0
Clio,168000,1850,2002,60,1,1,0,0
Megane,137000,3500,2003,88,0,0,1,0
Clio,156000,2100,2002,43,0,0,0,0
Clio,158000,2390,2003,43,0,0,1,0
Scenic,145000,2499,2002,75,0,0,1,0
Megane,156288,3390,2005,96,0,0,1,0
Clio,150000,2390,2003,55,0,0,1,0
Megane,165000,2599,2003,88,0,1,1,0
Clio,160000,2600,2005,48,0,0,0,0
Scenic,179000,2500,2001,75,1,0,1,0
Megane,193000,3200,2003,88,0,0,1,0
Modus,166345,4200,2005,55,0,0,1,0
Megane,150987,6290,2011,66,0,0,1,0
Kangoo,240000,2600,2003,482,0,1,1,0
Megane,189300,2990,2004,60,0,1,1,0
Clio,148000,1990,2002,48,1,1,1,0
Scenic,168658,7800,2011,77,1,1,1,0
Laguna,207000,3990,2006,88,0,1,1,0
Scenic,120332,3050,2003,72,0,0,1,0
Laguna,173508,2650,2001,89,1,0,1,0
Grand,172411,4450,2008,63,1,0,1,0
Scenic,145378,7150,2011,81,1,1,1,0
Laguna,233000,1399,2002,89,0,1,1,0
Clio,163000,2100,2002,55,1,1,1,0
Clio,122170,2490,2004,55,0,0,1,0
Grand,146168,10650,2012,96,0,0,1,0
Scenic,185000,2450,2002,79,1,1,1,0
Laguna,187200,2550,2002,88,0,0,1,0
Megane,152000,5999,2010,66,0,0,1,0
Laguna,82000,2200,2001,89,0,1,1,0
Megane,147950,4450,2006,110,0,1,1,0
Clio,137623,5890,2011,55,0,0,1,0
Megane,156000,5890,2009,63,0,1,1,0
Megane,172000,2790,2003,88,0,1,1,0
Captur,3,17240,2015,66,0,0,1,0
Clio,132171,4750,2011,55,0,1,0,0
Laguna,220000,2299,2004,88,0,1,1,0
Espace,170000,5399,2007,110,0,0,1,1
Scenic,180000,2999,2004,88,1,1,1,0
Vel,218000,2499,2002,1,1,1,1,0
Laguna,57000,15390,2013,127,0,0,1,1
Clio,176881,2200,2001,72,0,0,1,0
Megane,101000,2700,2003,83,0,1,0,0
Laguna,89000,11200,2010,110,0,1,0,0
Kangoo,223000,2690,2003,42,0,1,1,0
Clio,161100,2450,2004,48,0,1,1,0
Scenic,139860,7790,2010,81,0,0,1,0
Grand,172253,10799,2012,96,0,0,1,0
Laguna,204300,2000,2002,88,0,0,1,0
Laguna,193500,4000,2006,96,0,0,1,0
Clio,165000,2200,2007,44,0,0,0,0
Megane,190036,2580,2005,88,0,0,1,0
Megane,165455,2999,2003,60,0,0,1,0
Megane,147000,3690,2008,78,0,1,0,0
Scenic,171000,3000,2003,88,0,0,1,0
Scenic,172000,3250,2003,99,0,0,1,0
Megane,170000,2750,2003,60,0,0,1,0
Megane,137000,7499,2013,81,1,0,1,1
Clio,139000,4450,2011,55,0,0,0,0
Megane,158000,5999,2011,63,0,0,1,0
Laguna,245000,2950,2005,74,0,0,1,0
Megane,151287,8490,2008,63,1,1,1,0
Clio,140069,2100,2002,54,1,1,0,0
Clio,140000,4350,2010,66,0,1,0,0
Megane,162000,2750,2002,75,0,1,1,0
Laguna,198000,3050,2002,88,0,1,1,0
Scenic,207000,3360,2004,83,0,1,1,0
Megane,168535,2550,2003,83,0,1,1,0
Megane,136400,4399,2004,88,0,1,0,0
Scenic,165000,7000,2010,78,0,1,1,0
Scenic,165000,3390,2004,77,0,0,1,0
Scenic,135000,4499,2006,96,0,1,1,0
Grand,245000,3550,2003,88,0,0,1,0
Megane,167628,4490,2005,88,0,1,0,0
Clio,143450,4790,2011,55,1,1,0,0
Megane,148000,3400,2006,63,1,1,1,0
Megane,117000,6000,2009,63,1,1,1,0
Scenic,157150,8750,2010,81,0,0,1,0
Megane,193000,3990,2007,96,0,1,1,0
Clio,147534,399,2000,44,0,1,0,0
Clio,110436,399,2000,66,0,0,0,0
Clio,128000,2490,2004,43,1,0,1,0
Scenic,170598,3450,2003,88,0,1,1,0
Megane,205000,2990,2004,88,0,1,1,0
Megane,120000,2750,2003,60,0,1,1,0
Megane,152000,3600,2006,81,1,1,1,0
Grand,110000,3600,2005,83,0,1,1,0
Megane,188000,3200,2003,88,0,1,1,0
Scenic,177000,3350,2004,88,1,1,1,0
Scenic,170000,4750,2007,96,0,0,1,0
Megane,200000,2690,2003,77,0,1,1,0
Scenic,194000,2900,2003,88,0,1,1,0
Megane,131825,6999,2010,110,0,1,1,1
Scenic,84000,6950,2009,81,0,1,1,0
Laguna,186500,2600,2004,74,0,0,1,0
Laguna,160000,5800,2008,96,0,1,1,0
Laguna,174000,3699,2005,110,0,0,1,0
Megane,157000,3490,2006,78,0,1,1,0
Scenic,153600,6999,2010,77,1,0,1,0
Laguna,175000,2490,2002,88,0,0,1,0
Scenic,178000,2490,2002,75,0,1,1,0
Scenic,147880,3900,2004,88,0,1,1,0
Clio,185000,2140,2001,48,0,1,1,0
Kangoo,161000,2790,2003,70,1,0,1,0
Laguna,130000,2100,2001,74,0,0,1,0
Megane,164000,2790,2003,88,0,1,1,0
Scenic,156000,2890,2004,88,0,1,1,0
Megane,137000,3190,2004,88,0,0,1,0
Scenic,129000,2640,2003,79,1,0,1,0
Clio,151000,2400,2004,60,0,0,0,0
Scenic,197000,5400,2008,81,0,1,1,0
